R_DEF,LOC,MUN,EST,EST_D,AGEB,T_LOC,CD_A,ENT,CON,UPM,D_SEM,N_PRO_VIV,V_SEL,N_HOG,H_MUD,N_ENT,PER,N_REN,C_RES,PAR_C,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,L_NAC_C,CS_P12,CS_P13_1,CS_P13_2,CS_P14_C,CS_P15,CS_P16,CS_P17,N_HIJ,E_CON,CS_AD_MOT,CS_P20_DES,CS_AD_DES,CS_NR_MOT,CS_P22_DES,CS_NR_ORI,UR,ZONA,SALARIO,FAC,CLASE1,CLASE2,CLASE3,POS_OCU,SEG_SOC,RAMA,C_OCU11C,ING7C,DUR9C,EMPLE7C,MEDICA5C,BUSCAR5C,RAMA_EST1,RAMA_EST2,DUR_EST,AMBITO1,AMBITO2,TUE1,TUE2,TUE3,BUSQUEDA,D_ANT_LAB,D_CEXP_EST,DUR_DES,SUB_O,S_CLASIFI,REMUNE2C,PRE_ASA,TIP_CON,DISPO,NODISPO,C_INAC5C,PNEA_EST,NIV_INS,EDA5C,EDA7C,EDA12C,EDA19C,HIJ5C,DOMESTICO,ANIOS_ESC,HRSOCUP,INGOCUP,ING_X_HRS,TPG_P8A,TCCO,CP_ANOC,IMSSISSSTE,MA48ME1SM,P14APOYOS,SCIAN,T_TRA,EMP_PPAL,TUE_PPAL,TRANS_PPAL,MH_FIL2,MH_COL,SEC_INS
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0085,03,1,0,1,215,09,1,417,1,27,99,06,1987,009,1,02,3,,,,2,,5,,,,,,,1,1,2103,833,1,1,1,1,2,4,7,4,7,2,1,4,3,7,5,2,2,3,5,0,2,0,0,0,0,0,2,2,5,0,0,0,0,1,2,2,3,8,0,3,3,50,6450,30,0,0,0,4,0,0,8,1,1,1,0,1,3,8
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0111,04,1,0,1,215,01,1,101,1,85,29,03,1930,009,1,05,4,N122,2,1,2,,4,,,,,,,1,1,2103,833,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,6,11,18,0,8,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0111,04,1,0,1,215,02,1,301,2,62,07,06,1952,009,1,07,4,5531,3,1,2,00,2,,,,,,,1,1,2103,833,1,1,1,1,1,1,1,5,3,5,3,4,2,4,3,2,4,1,1,0,2,0,0,0,0,0,1,1,5,0,0,0,0,4,3,6,10,15,1,3,16,24,12000,116.27907,0,0,0,1,0,0,4,1,2,2,0,3,2,2
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0111,04,1,0,1,215,03,1,409,1,23,99,06,1991,009,1,07,3,5334,3,2,1,,6,,,,,,,1,1,2103,833,1,1,1,1,2,3,6,2,3,2,1,4,3,5,3,2,2,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,4,1,2,2,7,0,2,15,16,0,0,0,0,0,4,0,0,7,1,1,1,0,1,1,8
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0144,05,1,0,1,215,01,1,101,1,58,21,08,1956,020,1,04,3,,,,2,,5,,,,,,,1,1,2103,833,1,1,1,1,1,4,4,3,4,4,3,4,3,8,3,2,4,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,5,9,14,0,3,12,32,6000,43.60465,0,0,0,1,0,0,12,1,2,2,0,3,2,2
00,0001,002,30,105,00000,1,01,09,40002,0900821,101,0144,05,1,0,1,215,02,1,201,2,53,12,12,1961,013,1,03,3,,,,2,02,5,,,,,,,1,1,2103,833,1,1,1,3,2,4,6,3,3,1,1,4,3,6,3,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,13,2,3,9,24,5160,50,0,0,1,4,0,0,18,1,1,1,0,1,7,8
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0022,01,1,0,1,215,01,1,101,1,58,25,05,1956,009,1,07,4,5341,3,1,2,,5,,,,,,,1,1,2103,741,1,1,1,3,2,4,1,7,3,1,1,4,3,8,3,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,9,14,0,3,16,21,0,0,0,0,0,4,0,0,12,1,2,2,0,3,8,4
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0060,02,1,0,1,215,01,1,101,1,60,21,11,1954,021,1,07,4,5532,3,1,2,,5,,,,,,,1,1,2103,741,1,1,1,1,1,1,5,4,4,6,3,4,2,4,3,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,6,10,15,0,1,16,30,0,0,0,0,0,1,0,0,4,1,2,2,0,3,2,2
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0060,02,1,0,1,215,02,1,201,2,55,21,09,1959,009,1,03,3,,,,2,02,5,,,,,,,1,1,2103,741,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,3,5,9,14,2,8,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,006,20,104,00000,1,01,09,40003,0906058,101,0060,02,1,0,1,215,03,1,301,1,35,17,09,1979,009,1,07,3,5532,3,2,2,,3,,,,,,,1,1,2103,741,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,4,2,3,5,10,0,3,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
